committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Progressive Voters Guide Ballot Committee,Issue Committee,221.61,11/2/21 0:00,Google,Mountain View,CA,94043,Advertising,Colorado Proposition 119
Progressive Voters Guide Ballot Committee,Issue Committee,919.93,11/2/21 0:00,Google,Mountain View,CA,94043,Advertising,Colorado Proposition 120
Progressive Voters Guide Ballot Committee,Issue Committee,26.68,11/2/21 0:00,Google,Mountain View,CA,94043,Advertising,Denver Initiative 303
Progressive Voters Guide Ballot Committee,Issue Committee,19.57,11/2/21 0:00,Google,Mountain View,CA,94043,Advertising,Denver Question 2B
Progressive Voters Guide Ballot Committee,Issue Committee,153.25,11/2/21 0:00,Google,Mountain View,CA,94043,Advertising,Denver Question 2F
Progressive Voters Guide Ballot Committee,Issue Committee,192.92,11/2/21 0:00,Facebook,Menlo Park,CA,94205,Advertising,Denver Question 2F - Keep Denver Housed
Yes On Prop. 119,Issue Committee,40,11/2/21 0:00,First Bank,Denver,CO,80231,Bank Fees,Bank Fees
Yes On Prop. 119,Issue Committee,62303.85,11/2/21 0:00,Fls Connect,St. Paul,MN,55128,Advertising,Phone Calls And Text Messages
Colorado Character,Issue Committee,99201.54,11/3/21 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Signature Collection
Colorado Character,Issue Committee,30,11/3/21 0:00,Citywide Banks,Denver,CO,80202,Bank Fees,
No On Prop 119,Issue Committee,2000,11/3/21 0:00,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,Compliance Consulting
No On Prop 119,Issue Committee,67,11/3/21 0:00,Usps - Lafayette,Lafayette,CO,80026,Rent & Utilities,Po Box Fee
The Committee For Spending Transparency,Issue Committee,135.45,11/3/21 0:00,Michael  Fields,Parker,CO,80134,Miscellaneous,Reimbursements
Yes On Prop. 119,Issue Committee,30,11/4/21 0:00,First Bank,Denver,CO,80231,Bank Fees,Bank Fee
Yes On Prop. 119,Issue Committee,6888.98,11/4/21 0:00,Fls Connect,St. Paul,MN,55128,Advertising,Phone Calls And Text Messages
Yes On Prop. 119,Issue Committee,60133,11/5/21 0:00,Ascent Media,Denver,CO,80231,Advertising,Tv Advertising And Production
Yes On Prop. 119,Issue Committee,5000,11/5/21 0:00,Magellan Strategies,Louisville,CO,80027,Consultant & Professional Services,Research And Polling
Denver Taxpayers For Public Education,Issue Committee,124.49,11/6/21 0:00,Harland Clarke Checks,"San Antonio,",TX,78256,Miscellaneous,Checks
We Are Rfsd (Roaring Fork School District),Issue Committee,6.27,11/8/21 0:00,Paypal,Internet,CO,800000,Bank Fees,Credit Card Fees
Colorado Voter Defense Project,Issue Committee,19.75,11/9/21 0:00,,,,,Bank Fees,
No On Prop 119,Issue Committee,-11,11/9/21 0:00,,,,,Returned Expenditure,Refund Of Service Charge
Yes On Prop. 119,Issue Committee,15000,11/9/21 0:00,Onsight Public Affairs Inc.,Boulder,CO,80308,Consultant & Professional Services,Communications Consulting
Cannabis Community For Fairness And Safety,Issue Committee,750,11/10/21 0:00,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,Compliance Consulting
Yes On Prop. 119,Issue Committee,7500,11/10/21 0:00,Wilkinson Barker Knauer Llp,Denver,CO,80211,Consultant & Professional Services,Outreach Consulting
Cannabis Community For Fairness And Safety,Issue Committee,300,11/11/21 0:00,"Counterpoint Messaging, Llc",Rockvale,TN,37153,Advertising,
Cannabis Community For Fairness And Safety,Issue Committee,11000,11/12/21 0:00,Rbi Strategies And Research,Denver,CO,80202,Consultant & Professional Services,Field Staff
Colorado Voter Defense Project,Issue Committee,28750,11/12/21 0:00,Burro Labs,Denver,CO,80203,Consultant & Professional Services,
Colorado Voter Defense Project,Issue Committee,1000,11/12/21 0:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
Colorado Voter Defense Project,Issue Committee,650,11/12/21 0:00,Rita K Gilbert Pc,Lakewood,CO,80227,Consultant & Professional Services,
Colorado Voter Defense Project,Issue Committee,44000,11/12/21 0:00,Burro Labs,Denver,CO,80203,Consultant & Professional Services,
Denver Taxpayers For Public Education,Issue Committee,12750,11/13/21 0:00,Onsight Public Affairs Inc,Boulder,CO,80308,Consultant & Professional Services,
Coloradans For Animal Care,Issue Committee,400,11/15/21 0:00,Strategic Compliance Llc,Denver,CO,80205,Consultant & Professional Services,Compliance Consulting
Denver Taxpayers For Public Education,Issue Committee,1763,11/15/21 0:00,Stiles Legal,Boulder,CO,80302,Consultant & Professional Services,
The Committee For Spending Transparency,Issue Committee,178,11/15/21 0:00,Us Bank,Parker,CO,80134,Bank Fees,Bank Fees
Yes On Prop. 119,Issue Committee,9000,11/15/21 0:00,"La Raza Services, Inc.",Denver,CO,80204,Consultant & Professional Services,Outreach Consulting
Yes On Prop. 119,Issue Committee,62777.63,11/15/21 0:00,76 Group,Frisco,CO,80443,Consultant & Professional Services,Management And Outreach Consulting
Citizens For Ridgway R-2,Issue Committee,288,11/17/21 0:00,The Ouray County Plaindealer,Ridgway,CO,81432,Advertising,Ad In The Ouray County Plaindealer
Cut Property Taxes,Issue Committee,50,11/17/21 0:00,Colorado Secretary Of State,Denver,CO,80290,Other,Sos Penalty
Yes On Prop. 119,Issue Committee,2409.5,11/17/21 0:00,Maven Law Group,Denver,CO,80202,Consultant & Professional Services,Legal And Professional Services
Citizens For Ridgway R-2,Issue Committee,50,11/18/21 0:00,Colorado Secretary Of State,Denver,CO,80290,Other,Late Fee For Major Contributor Report
Iam27J,Issue Committee,59,11/19/21 0:00,Nationbuilder,Los Angeles,CA,90071,Consultant & Professional Services,Nationbuilder
No On Prop 119,Issue Committee,-12,11/19/21 0:00,,,,,Returned Expenditure,Refund Of Service Charge
Yes On Prop. 119,Issue Committee,12000,11/19/21 0:00,Powermap Ltd.,Wheat Ridge,CO,80214,Consultant & Professional Services,Outreach Consulting
Coloradans Against School Vouchers,Issue Committee,48.74,11/23/21 0:00,Paragon Solutions,Tempe,AZ,85282,Bank Fees,
Cannabis Community For Fairness And Safety,Issue Committee,11000,11/26/21 0:00,Rbi Strategies And Research,Denver,CO,80202,Consultant & Professional Services,Field Staff
Cannabis Community For Fairness And Safety,Issue Committee,8000,11/26/21 0:00,Rbi Strategies And Research,Denver,CO,80202,Consultant & Professional Services,Campaign Consulting
Cannabis Community For Fairness And Safety,Issue Committee,2500,11/30/21 0:00,Rbi Strategies And Research,Denver,CO,80202,Consultant & Professional Services,Legal Fees
Citizens For Ridgway R-2,Issue Committee,3979.87,11/30/21 0:00,George Gardner Scholarship Fund,Ridgway,CO,81432,Other,Donate Remaining Campaign Funds To George Gardner Scholarship Fund.  The George Gardner Scholarship Fund Is A Colorado Based Non-Profit 501(C)3. Ein Is 46≠3637800
Colorado Character,Issue Committee,5,11/30/21 0:00,Citywide Banks,Denver,CO,80202,Bank Fees,
