District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 03,"Hinrichsen, Nick",Democratic,170.9,2/7/22 0:00,My Friend The Printer,Pueblo,CO,81003,Other,Doorhangers And Stickers
Senate District 03,"Hinrichsen, Nick",Democratic,150,2/7/22 0:00,Paaco Pueblo,Pueblo,CO,81001,"Food, Beverages and Meals",Dinner Tickets
Senate District 03,"Hinrichsen, Nick",Democratic,2.84,2/7/22 0:00,Walmart Supercenter,Pueblo,CO,81005,Office Equipment & Supplies,
Senate District 03,"Hinrichsen, Nick",Democratic,93.1,2/7/22 0:00,Tortilleria Delicias,Pueblo,CO,81006,"Food, Beverages and Meals",Food
Senate District 03,"Hinrichsen, Nick",Democratic,6,2/8/22 0:00,Wix.Com,Tel Aviv,IS,6350671,Consultant & Professional Services,Email
Senate District 03,"Hinrichsen, Nick",Democratic,20.95,2/8/22 0:00,Pueblo Bank And Trust,Pueblo,CO,81003,Bank Fees,Premium Checking Acct
Senate District 03,"Hinrichsen, Nick",Democratic,28.47,2/13/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,12.87,2/14/22 0:00,Walmart Supercenter,Pueblo,CO,81005,Office Equipment & Supplies,
Senate District 03,"Hinrichsen, Nick",Democratic,5.93,2/20/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,79.91,2/22/22 0:00,Squawk Coffee,Pueblo,CO,81003,"Food, Beverages and Meals",Coffee
Senate District 03,"Hinrichsen, Nick",Democratic,158.96,2/22/22 0:00,Enterprise,Pueblo,CO,81003,Travel & Lodging,Car Rental
Senate District 03,"Hinrichsen, Nick",Democratic,15.81,2/27/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,31.37,3/6/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,25,3/6/22 0:00,Wix.Com,Tel Aviv,IS,6350671,Consultant & Professional Services,Premium Web Plan
Senate District 03,"Hinrichsen, Nick",Democratic,63,3/6/22 0:00,Mailchimp C/O The Rocket Science Group,Atlanta,GA,30308,Fundraising Expenses,
Senate District 03,"Hinrichsen, Nick",Democratic,6,3/8/22 0:00,Wix.Com,Tel Aviv,IS,6350671,Consultant & Professional Services,Email
Senate District 03,"Hinrichsen, Nick",Democratic,276,3/10/22 0:00,Squarespace,New York,NY,10014,Consultant & Professional Services,Website
Senate District 03,"Hinrichsen, Nick",Democratic,500,3/13/21 0:00,Heart + Mind Media,Denver,CO,80207,Advertising,Campaign Video
Senate District 03,"Hinrichsen, Nick",Democratic,47.68,3/13/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,21.66,3/20/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,250,3/25/22 0:00,Csu-Pueblo,Pueblo,CO,81001,"Food, Beverages and Meals",Dinner Tickets
Senate District 03,"Hinrichsen, Nick",Democratic,21.81,3/27/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,48.01,3/28/22 0:00,Payroll Vault,Lakewood,CO,80226,Employee Services,
Senate District 03,"Hinrichsen, Nick",Democratic,226.87,3/28/22 0:00,Payroll Vault,Lakewood,CO,80226,Employee Services,
Senate District 03,"Hinrichsen, Nick",Democratic,18.7,3/31/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,1,3/31/22 0:00,Rewired Llc,Brooklyn,NY,11217,Consultant & Professional Services,Texting
Senate District 03,"Hinrichsen, Nick",Democratic,129.94,3/31/22 0:00,Payroll Vault,Lakewood,CO,80226,Employee Services,
Senate District 03,"Hinrichsen, Nick",Democratic,500,4/3/22 0:00,Heart + Mind Media,Denver,CO,80207,Advertising,Campaign Video
Senate District 03,"Hinrichsen, Nick",Democratic,0.99,4/3/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,25,4/6/22 0:00,Wix.Com,Tel Aviv,IS,6350671,Consultant & Professional Services,Premium Web Plan
Senate District 03,"Hinrichsen, Nick",Democratic,72.9,4/6/22 0:00,Mailchimp C/O The Rocket Science Group,Atlanta,GA,30308,Fundraising Expenses,
Senate District 03,"Hinrichsen, Nick",Democratic,6,4/8/22 0:00,Wix.Com,Tel Aviv,IS,6350671,Consultant & Professional Services,Email
Senate District 03,"Hinrichsen, Nick",Democratic,49.18,4/10/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,50,4/14/22 0:00,Colorado Department Of State,Denver,CO,80290,Other,Late Filing Fee
