committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Take Back Colorado,Independent Expenditure Committee,0.7,1/14/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/14/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/14/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Unite For Colorado Action Iec,Independent Expenditure Committee,401.5,1/14/21 0:00,Maven Law Group,Denver,CO,80202,Consultant & Professional Services,Legal Fees
All Together Colorado,527 Political Organization,525,1/15/21 0:00,Ngp,Washington,DC,20005,Other,Database
Coloradans Against Jared Polis,Independent Expenditure Committee,148,1/15/21 0:00,Usps,Denver,CO,80202,Rent & Utilities,Po Box
Take Back Colorado,Independent Expenditure Committee,0.7,1/15/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/15/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/15/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Coloradans Against Jared Polis,Independent Expenditure Committee,4.7,1/16/21 0:00,"Stripe, Inc",San Francisco,CA,94103,Fundraising Expenses,
Take Back Colorado,Independent Expenditure Committee,1.3,1/16/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,2.3,1/16/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.1,1/16/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/17/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Montrose Republican Women,527 Political Organization,69.81,1/18/21 0:00,City Of Montrose,Montrose,CO,81402,Miscellaneous,4Th Qtr. Local Sales Tax
Take Back Colorado,Independent Expenditure Committee,1.3,1/18/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/18/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Better Colorado Alliance,527 Political Organization,10,1/19/21 0:00,,,,,Other,Sos Periodic Fee
Friends For The Future (F3),527 Political Organization,2.3,1/20/21 0:00,Anedot Inc,New Orleans,LA,70112,Bank Fees,Anedot (Lowman)
Take Back Colorado,Independent Expenditure Committee,1.3,1/20/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
All Together Colorado,Independent Expenditure Committee,43.52,1/21/21 0:00,Zoom,San Jose,CA,95113,Office Equipment & Supplies,
Better Colorado Alliance,Independent Expenditure Committee,16.3,1/21/21 0:00,,,,,Office Equipment & Supplies,
Take Back Colorado,Independent Expenditure Committee,0.7,1/21/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Better Colorado Alliance,Independent Expenditure Committee,39.5,1/22/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
Better Colorado Alliance,Independent Expenditure Committee,98.75,1/22/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
Coloradans For Colorado Values,Independent Expenditure Committee,260,1/22/21 0:00,Scarlett Greene,Denver,CO,80210,Consultant & Professional Services,
Community Change Voters,Independent Expenditure Committee,37.98,1/22/21 0:00,Amalgamated Bank,New York,NY,10001,Bank Fees,
Take Back Colorado,Independent Expenditure Committee,4.3,1/22/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/22/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Friends For The Future (F3),527 Political Organization,0.9,1/23/21 0:00,Anedot Inc,New Orleans,LA,70112,Bank Fees,Anedot (Scanga)
Take Back Colorado,Independent Expenditure Committee,1.3,1/23/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/23/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/23/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.5,1/23/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.5,1/23/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Weld Strong,Independent Expenditure Committee,2086.13,1/23/21 0:00,Stacey  Kjeldgaard,Greeley,CO,80634,Advertising,Reimbursement
Friends For The Future (F3),527 Political Organization,0.7,1/24/21 0:00,Anedot Inc,New Orleans,LA,70112,Bank Fees,Anedot (Ortman)
Take Back Colorado,Independent Expenditure Committee,4.3,1/24/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Senate Majority Fund,527 Political Organization,195,1/25/21 0:00,Constant Contact,Waltham,MA,2451,Other,Communications
Take Back Colorado,Independent Expenditure Committee,2.3,1/25/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
All Together Colorado,Independent Expenditure Committee,440,1/26/21 0:00,Rechtkornfeld,Denver,CO,80202,Consultant & Professional Services,
All Together Colorado,Independent Expenditure Committee,32.47,1/26/21 0:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
Coloradans Against Jared Polis,Independent Expenditure Committee,0.61,1/26/21 0:00,"Stripe, Inc",San Francisco,CA,94103,Fundraising Expenses,
Coloradans Creating Opportunities,527 Political Organization,10,1/26/21 0:00,,,,,Other,Sos Periodic Fee
Senate Majority Fund,527 Political Organization,1294.62,1/26/21 0:00,Colorado Concern,Denver,CO,80204,"Food, Beverages and Meals",Food And Beverage For Meeting
Take Back Colorado,Independent Expenditure Committee,4.3,1/26/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,4.3,1/26/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.5,1/26/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Conservation Colorado Victory Fund,Independent Expenditure Committee,13.7,1/27/21 0:00,,,,,Miscellaneous,Tax1099 Filing
Montrose Republican Women,527 Political Organization,150,1/27/21 0:00,Colorado Federation Of Republican Women (Cfrw),Arvada,CO,80002,Miscellaneous,2021 Dues Fr Cfrw
Raising Colorado,Independent Expenditure Committee,1500,1/27/21 0:00,Whitney W Burns,Springfield,VA,22151,Consultant & Professional Services,Financial Compliance
Take Back Colorado,Independent Expenditure Committee,1.3,1/27/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/27/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/27/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/27/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/27/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/28/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/28/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/28/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Weld Strong,Independent Expenditure Committee,42,1/28/21 0:00,Jackson Kelly,Denver,CO,80202,Consultant & Professional Services,Legal Fees
A Whole Lot Of People For Change,Independent Expenditure Committee,17,1/29/21 0:00,,,,,Bank Fees,Bank Charge
All Together Colorado,Independent Expenditure Committee,2000,1/29/21 0:00,Scarlett Greene,Denver,CO,80210,Consultant & Professional Services,
All Together Colorado,Independent Expenditure Committee,138.26,1/29/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
All Together Colorado,Independent Expenditure Committee,10,1/29/21 0:00,,,,,Bank Fees,
Better Colorado Alliance,527 Political Organization,2,1/29/21 0:00,,,,,Bank Fees,
Better Colorado Alliance,Independent Expenditure Committee,2000,1/29/21 0:00,Scarlett Greene,Denver,CO,80210,Consultant & Professional Services,
Better Colorado Alliance,Independent Expenditure Committee,138.26,1/29/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
Better Colorado Alliance,Independent Expenditure Committee,26,1/29/21 0:00,1St Bank,Denver,CO,80210,Bank Fees,
Blueflower Action,Independent Expenditure Committee,2,1/29/21 0:00,,,,,Bank Fees,
Coloradans Creating Opportunities,Independent Expenditure Committee,2500,1/29/21 0:00,Scarlett Greene Llc,Denver,CO,80210,Consultant & Professional Services,
Coloradans Creating Opportunities,Independent Expenditure Committee,2,1/29/21 0:00,,,,,Bank Fees,
Coloradans Creating Opportunities,527 Political Organization,2,1/29/21 0:00,,,,,Bank Fees,
Colorado Information Network Ie Committee,Independent Expenditure Committee,7,1/29/21 0:00,Firstbank,Greenwood Village,CO,80111,Bank Fees,Debit
